Consulta 1: Todas as escolas com suas cidades e telefones ;
codigo|nome|cod_municipio|endereco|compl_endereco|bairro|cod_loc_dif|cod_escola|ddd|numero|codigo|nome|uf
11026839|EMEIEF NOSSA SENHORA DO CARMO|1100049|AVENIDA JUCELINO KUBSTCHEK||RIOZINHO|0||||1100049|Cacoal|RO
11026936|EMEIEF PEDRO ALVARES CABRAL|1100049|LINHA 9 GLEBA 9 LOTE 52|ESCOLA|ZONA RURAL|0||||1100049|Cacoal|RO
11026960|EMEIEF PRESIDENTE MEDICI|1100049|LINHA 10| GLEBA 10|S/N|0||||1100049|Cacoal|RO
11027002|EMEIEF PROF AGUSTINHO GOES DE OLIVEIRA|1100049|AVENIDA PRIMAVERA||VISTA ALEGRE|0||||1100049|Cacoal|RO
11027088|EMEIEF SANTOS DUMONT|1100049|AREA RURAL|LH07 GL06 KM17 LT56|AREA RURAL DE CACOAL|0||||1100049|Cacoal|RO
11027134|EIEEFM SERTANISTA FRANCISCO MEIRELES|1100049|RUA ANTONIO DE PAULA NUNES|SEDUC/CRE CACOAL|CENTRO|2||||1100049|Cacoal|RO
11027142|EIEEFM SERTANISTA JOSE DO CARMO SANTANA|1100049|RUA ANTONIO DE PAULA NUNES|END. DA CRE CACOAL|CENTRO|2||||1100049|Cacoal|RO
11027207|EIEEFM TANCREDO NEVES|1100049|RUA ANTONIO DE PAULA NUNES|SEDUC/CRE CACOAL|CENTRO|2||||1100049|Cacoal|RO
11027290|ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI|1100049|TRAVESSA OURO||CRISTAL DO ARCO-IRIS|0||||1100049|Cacoal|RO
11027312|EEEFM BERNARDO GUIMARAES|1100049|RUA ANTONIO DE PAULA NUNES|PREDIO|PRINCESA ISABEL|0||||1100049|Cacoal|RO
11027320|EEEFM CARLOS GOMES|1100049|AVENIDA RECIFE||NOVO CACOAL|0||||1100049|Cacoal|RO
11027347|EEEMTI CLODOALDO NUNES DE ALMEIDA|1100049|RUA PRESIDENTE MEDICI|PREDIO|JARDIM CLODOALDO|0||||1100049|Cacoal|RO
11027355|ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN|1100049|LINHA 10 KM 04|CX POSTAL 51|ZONA RURAL|0||||1100049|Cacoal|RO
11027363|ESCOLA ESPECIALIZADA RAIO DE LUZ|1100049|RUA ANISIO SERRAO||FLORESTA|0||||1100049|Cacoal|RO
11027380|EMEIEF JOSE DE ALMEIDA E SILVA|1100049|RUA DOS PIONEIROS||CENTRO|0||||1100049|Cacoal|RO
11027398|EMEIEF LUIZ LENZI|1100049|RUA MONTEIRO LOBATO|PREDIO PROPRIO|TEIXEIRAO|0||||1100049|Cacoal|RO
11027401|EEEFM CELSO FERREIRA DA CUNHA|1100049|AVENIDA AGLAIR NOGUEIRA||RIOZINHO|0||||1100049|Cacoal|RO
11040904|EMEI RUTH VIEIRA BEXIGA|1100049|RUA JOAO PAULO I||RIOZINHO|||||1100049|Cacoal|RO
11041234|EIEEF PAITEREY|1100049|RUA ANTONIO DE PAULA NUNES|CRE - CACOAL|CENTRO|2||||1100049|Cacoal|RO
11041250|EIEEFM NOA SURUI|1100049|RUA ANTONIO DE PAULA NUNES|SEDUC/CRE - CACOAL|CENTRO|2||||1100049|Cacoal|RO
11041277|EIEEF JOAO EVANGELISTA DIAS|1100049|RUA ANTONIO DE PAULA NUNES|CRE - CACOAL|CENTRO|2||||1100049|Cacoal|RO
11043342|EMEF MARIA SOCORRO VIANA DE ALMEIDA|1100049|RUA PROFESSORA ALZIRA SELLERI BARBOSA||HABITAR BRASIL|0||||1100049|Cacoal|RO
11044020|EMEIEF PEDRO KEMPER|1100049|RUA PADRE EZEQUIEL RAMIM||TEIXEIRAO|0||||1100049|Cacoal|RO
11044888|CENTRO DE EDUCACAO INFANTIL TEREZINHA GENECI DE OLIVEIRA|1100049|AVENIDA PARANA||NOVO HORIZONTE|0||||1100049|Cacoal|RO
11046422|CENTRO DE FORMACAO TECNICA E PROFISSIONAL DE CACOAL|1100049|AVENIDA BELO HORIZONTE|ESCOLA|JARDIM CLODOALDO|0||||1100049|Cacoal|RO
11046732|CENTRO DE EDUCACAO INFANTIL LEAOZINHO|1100049|AVENIDA RECIFE||NOVO CACOAL|0||||1100049|Cacoal|RO
11046740|EEEMTI JOSINO BRITO|1100049|RUA UIRAPURU|ESCOLA|FLORESTA|0||||1100049|Cacoal|RO
11047992|CENTRO DE EDUCACAO INFANTIL MARECHAL RONDON|1100049|RUA BASILIO DA GAMA|ESCOLA|VISTA ALEGRE|0||||1100049|Cacoal|RO
11048000|CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOSINO BRITO|1100049|RUA PROFESSOR IRIS JOSE DUARTE||JOSINO BRITO|0||||1100049|Cacoal|RO
11048069|CENTRO DE EDUCACAO INFANTIL BALAO MAGICO|1100049|RUA DOM PEDRO I||LIBERDADE|0||||1100049|Cacoal|RO
11048603|ESCOLA DO AMANHA EDUCACAO INFANTIL|1100049|RUA ANTNIO DE PAULA NUNES||CENTRO|0||||1100049|Cacoal|RO
11049383|ESCOLA SENAI CACOAL|1100049|RUA JOSE DO PATROCINIO|PREDIO|JARDIM ELDORADO|0||||1100049|Cacoal|RO
11049448|CEI VEREADOR EXPEDITO ALVES DE MACEDO|1100049|RUA EITOR OZIAS SCHUNDT|ESCOLA|VILLAGE DO SOL|0||||1100049|Cacoal|RO
11049456|EIEEF KABANEY|1100049|RUA ANTONIO DE PAULA NUNES|CRE-CACOAL|CENTRO|2||||1100049|Cacoal|RO
11049723|INSTITUTO EDUCACIONAL SOMA - IES|1100049|AVENIDA BELO HORIZONTE|ESCOLA|JARDIM CLODOALDO|0||||1100049|Cacoal|RO
11050373|COOPERATIVA EDUCACIONAL DE CACOAL|1100049|AVENIDA SAO PAULO||CENTRO|0||||1100049|Cacoal|RO
11050560|CENTRO EDUCACIONAL COLO DE MAE|1100049|AVENIDA GETULIO VARGAS||NOVO CACOAL|0||||1100049|Cacoal|RO
11050730|COLEGIO UNESC|1100049|RUA DOS ESPORTES||INCRA|||||1100049|Cacoal|RO
11050756|CENTRO EDUCACIONAL MULTI ENSINO CEME|1100049|RUA DOS PIONEIROS||CENTRO|0||||1100049|Cacoal|RO
11051205|EMEIEF RODOLFO LUCHTENBERG|1100049|RUA LUIZ ALVES DE ARAUJO||RESIDENCIAL PARQUE ALVORADA|0||||1100049|Cacoal|RO
11052600|EMEIEF ANGELA MARIA DA MATA PERDONCINI|1100049|RUA ROSINEIA DE SOUZA||VILAGE DO SOL|0||||1100049|Cacoal|RO
11058811|CENTRO EDUCACIONAL ALECRIM DOURADO|1100049|AVENIDA GERALDA SIMAO DE SOUZA||ELDORADO|0||||1100049|Cacoal|RO
11106832|SENAC-CACOAL-RO|1100049|AVENIDA DOIS DE JUNHO||CENTRO|0||||1100049|Cacoal|RO
